ID,Neighborhood,District,Population,Multiplier,Latitude,Longitude,Area,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
223,Esenyalı,Pendik,14088,%5.38419,40.8624956,29.2950466,0.48,2,28,182,556,971,1266
245,Çamçeşme,Pendik,31480,%12.03111,40.872231,29.2705129,1.1,4,62,406,1242,2170,2829
290,Sapanbağları,Pendik,11264,%4.30491,40.8855757,29.2216182,1.4,1,22,145,445,776,1012
312,Kavakpınar,Pendik,60252,%23.02727,40.8811385,29.2868227,0.77,8,119,777,2378,4153,5415
326,Fevzi Çakmak,Pendik,36918,%14.10942,40.8780711,29.263908,1.2,5,73,476,1457,2544,3318
329,Yeni,Pendik,15263,%5.83325,40.8832021,29.2309095,1.2,2,30,197,602,1052,1372
330,Güzelyalı,Pendik,33575,%12.83178,40.8605709,29.2821813,2.5,4,66,433,1325,2314,3018
347,Ahmet Yesevi,Pendik,26717,%10.21077,40.8683853,29.3087934,0.64,3,53,345,1054,1841,2401
357,Orta,Pendik,5909,%2.25832,40.8903637,29.2419118,2.2,1,12,76,233,407,531
368,Dumlupınar,Pendik,25596,%9.78235,40.8920988,29.2483221,1.4,3,51,330,1010,1764,2301
385,Yeşilbağlar,Pendik,6262,%2.39323,40.8929124,29.2256257,2.9,1,12,81,247,432,563
387,Sülüntepe,Pendik,23741,%9.07340,40.9130716,29.2779541,0.58,3,47,306,937,1636,2134
396,Kurtköy,Pendik,30775,%11.76167,40.9142051,29.3002734,0.99,4,61,397,1215,2121,2766
403,Çınardere,Pendik,18465,%7.05700,40.894557,29.2395687,1.5,2,37,238,729,1273,1660
405,Bahçelievler,Pendik,12417,%4.74556,40.8839106,29.2353786,4,2,25,160,490,856,1116
420,Kaynarca,Pendik,48246,%18.43878,40.8752422,29.2552958,2.4,6,95,622,1904,3325,4336
443,Doğu,Pendik,16043,%6.13136,40.8781658,29.2367481,0.76,2,32,207,633,1106,1442
454,Şeyhli,Pendik,16720,%6.39009,40.9069317,29.2844986,15.6,2,33,216,660,1152,1503
466,Batı,Pendik,15521,%5.93186,40.8771819,29.230314,11.6,2,31,200,613,1070,1395
500,Güllübağlar,Pendik,13852,%5.29399,40.896909,29.2743647,6.1,2,27,179,547,955,1245
513,Velibaba,Pendik,36461,%13.93476,40.9044885,29.2543843,6.6,5,72,470,1439,2513,3277
553,Yenişehir,Pendik,57841,%22.10583,40.9312919,29.3043382,4.5,7,114,746,2283,3987,5199
555,Ertuğrulgazi,Pendik,14532,%5.55388,40.9161119,29.2580922,3.5,2,29,187,574,1002,1306
564,Yayalar,Pendik,11782,%4.50288,40.9027998,29.267275,4.5,2,23,152,465,812,1059
587,Çamlık,Pendik,15987,%6.10995,40.928438,29.2834947,16.8,2,32,206,631,1102,1437
588,Harmandere,Pendik,7925,%3.02880,40.9286057,29.3240794,9.4,1,16,102,313,546,712
714,Ramazanoğlu,Pendik,2930,%1.11980,40.89662,29.2865221,12.7,0,6,38,116,202,263
782,Sanayi,Pendik,3414,%1.30477,40.9055698,29.2991635,10.9,0,7,44,135,235,307
845,Göçbeyli,Pendik,1172,%0.44792,40.969167,29.4585414,3.9,0,2,15,46,81,105
855,Kurna,Pendik,1244,%0.47544,40.9556044,29.3352858,10,0,2,16,49,86,112
900,Emirli,Pendik,256,%0.09784,40.9903172,29.3394622,,0,1,3,10,18,23
915,Ballıca,Pendik,400,%0.15287,40.990429,29.4014388,0.64,0,1,5,16,28,36
919,Kurtdoğmuş,Pendik,441,%0.16854,41.0119123,29.3604996,0.54,0,1,6,17,30,40
167,İnönü,Sancaktepe,22817,%8.72026,41.0112928,29.2122553,3.6,1,17,127,443,845,1142
219,Atatürk,Sancaktepe,28687,%10.96367,41.0106272,29.2232789,13.7,1,21,159,557,1063,1436
262,Meclis,Sancaktepe,25603,%9.78502,41.0104122,29.2048777,8.5,1,19,142,497,948,1282
265,Kemal Türkler,Sancaktepe,19404,%7.41587,41.0069937,29.2176514,24,1,14,108,377,719,972
305,Safa,Sancaktepe,18424,%7.04133,41.0086084,29.2456768,18.1,1,13,102,358,682,922
343,Yenidoğan,Sancaktepe,20155,%7.70289,41.013189,29.2416963,15.4,1,15,112,391,747,1009
374,Sarıgazi,Sancaktepe,21755,%8.31438,41.0069576,29.2112136,6.1,1,16,121,422,806,1089
383,Merve,Sancaktepe,18226,%6.96566,41.006145,29.2405436,28.7,1,13,101,354,675,913
386,Yunus Emre,Sancaktepe,20761,%7.93449,41.0181749,29.249504,12.7,1,15,115,403,769,1039
432,Veysel Karani,Sancaktepe,19545,%7.46976,40.9633154,29.2422828,16.8,1,14,108,379,724,979
447,Emek,Sancaktepe,24340,%9.30233,41.0053334,29.1936719,9.5,1,18,135,473,902,1219
463,Akpınar,Sancaktepe,20949,%8.00634,40.9670161,29.2303824,36,1,15,116,407,776,1049
503,Mevlana,Sancaktepe,15823,%6.04728,41.0127344,29.2592977,40,1,11,88,307,586,792
506,Osmangazi,Sancaktepe,40149,%15.34425,40.9865128,29.2359802,17.9,2,29,223,780,1487,2010
540,Fatih,Sancaktepe,27938,%10.67742,40.9576787,29.2143124,20.7,1,20,155,542,1035,1399
559,Abdurrahmangazi,Sancaktepe,31716,%12.12130,40.9923179,29.2333854,50.7,1,23,176,616,1175,1588
662,Eyüpsultan,Sancaktepe,18918,%7.23013,40.9905196,29.2288624,28,1,14,105,367,701,947
684,Hilal,Sancaktepe,5458,%2.08595,41.0223751,29.25177,22.8,0,4,30,106,202,273
828,Paşaköy,Sancaktepe,1723,%0.65850,41.0178264,29.2782951,38.4,0,1,10,33,64,86
401,Fatih Sultan Mehmet,Sarıyer,15813,%6.04345,41.0957471,29.0354378,33.3,7,91,537,1517,2518,3224
414,Pınar,Sarıyer,11628,%4.44402,41.1135256,29.0320167,44.9,5,67,395,1115,1852,2371
441,Bahçeköy Yenimahalle,Sarıyer,5225,%1.99690,41.1685803,29.0572623,39.1,2,30,178,501,832,1065
472,Bahçeköy,Sarıyer,3868,%1.47828,41.174584,28.9912462,9.8,2,22,131,371,616,789
473,İstinye,Sarıyer,16089,%6.14894,41.1150511,29.055486,34.4,7,93,547,1543,2562,3280
488,Ferahevler,Sarıyer,15183,%5.80268,41.1296186,29.0442745,5.7,6,87,516,1456,2418,3096
498,Kireçburnu,Sarıyer,7049,%2.69401,41.1459737,29.0465248,16.4,3,41,240,676,1123,1437
499,Rumelihisarı,Sarıyer,10785,%4.12184,41.08491705,29.0567125239769,50.5,4,62,366,1034,1718,2199
517,Çayırbaşı,Sarıyer,5089,%1.94493,41.1587199,29.0326,59.5,2,29,173,488,810,1038
535,Cumhuriyet,Sarıyer,11247,%4.29841,41.1478306,29.0347131,43.2,5,65,382,1079,1791,2293
545,Merkez,Sarıyer,12750,%4.87283,41.1717313,29.0518358,15.6,5,73,433,1223,2031,2600
550,Poligon,Sarıyer,6704,%2.56215,41.117034,29.0413306,37.3,3,39,228,643,1068,1367
569,Büyükdere,Sarıyer,8841,%3.37888,41.1639734,29.0424644,,4,51,300,848,1408,1803
570,Emirgân,Sarıyer,8954,%3.42206,41.103131,29.0536894,1.3,4,52,304,859,1426,1826
572,Tarabya,Sarıyer,18103,%6.91865,41.1385739,29.0530421,1.3,8,104,615,1736,2883,3691
577,Kocataş,Sarıyer,4500,%1.71982,41.1689299,29.0352598,1.4,2,26,153,432,717,918
578,Yeniköy,Sarıyer,15481,%5.91657,41.1231548,29.070613,0.84,6,89,526,1485,2466,3156
584,Darüşşafaka,Sarıyer,9458,%3.61468,41.1292759,29.0250803,1.1,4,54,321,907,1506,1928
590,Reşitpaşa,Sarıyer,17903,%6.84222,41.1068809,29.0411147,1,7,103,608,1717,2851,3650
595,Yeni Mahalle,Sarıyer,3442,%1.31547,41.1727356,29.0608022,1.1,1,20,117,330,548,702
611,Baltalimanı,Sarıyer,5181,%1.98009,41.0955584,29.0525824,1.7,2,30,176,497,825,1056
631,Derbent (Çamlıtepe),Sarıyer,6119,%2.33858,41.1685803,29.0572623,1,3,35,208,587,975,1248
652,Maden,Sarıyer,13207,%5.04749,41.1817996,29.0379835,1.6,5,76,449,1267,2103,2693
653,Huzur,Sarıyer,7948,%3.03759,41.0997797,28.9864026,1.4,3,46,270,762,1266,1621
660,Bahçeköy Kemer,Sarıyer,2379,%0.90921,41.1690422,28.9897188,1.9,1,14,81,228,379,485
685,Ayazağa,Sarıyer,35317,%13.49754,41.1157496,28.9985596,3.1,15,203,1200,3388,5625,7201
705,Zekeriyaköy,Sarıyer,18867,%7.21064,41.1963806,29.0292004,1.3,8,109,641,1810,3005,3847
712,Maslak,Sarıyer,8091,%3.09224,41.1099991,29.020591,3,3,47,275,776,1289,1650
719,Kâzım Karabekir,Sarıyer,8201,%3.13428,41.1626163,29.0278664,,3,47,279,787,1306,1672
721,PTT Evleri,Sarıyer,5405,%2.06570,41.1573969,29.0220693,1.1,2,31,184,518,861,1102
735,Kumköy,Sarıyer,3331,%1.27305,41.2457696,29.0364997,0.62,1,19,113,320,530,679
742,Rumelikavağı,Sarıyer,3765,%1.43892,41.1824719,29.0734128,0.91,2,22,128,361,600,768
757,Uskumruköy,Sarıyer,8178,%3.12549,41.2198771,29.0224631,0.33,3,47,278,784,1302,1667
761,Gümüşdere,Sarıyer,4193,%1.60249,41.2367356,28.9851056,0.88,2,24,142,402,668,855
769,Rumelifeneri,Sarıyer,4550,%1.73893,41.2334035,29.1109327,1.3,2,26,155,436,725,928
802,Demirci,Sarıyer,1306,%0.49913,41.1685803,29.0572623,1.8,1,8,44,125,208,266
810,Garipçe,Sarıyer,393,%0.15020,41.2147913,29.1085398,0.98,0,2,13,38,63,80
867,Kısırkaya,Sarıyer,333,%0.12727,41.251854,28.9774507,1.4,0,2,11,32,53,68
235,Alibey,Silivri,18122,%6.92591,41.0732159,28.2502073,0.62,9,166,1266,4411,8392,11329
393,Piri Mehmet Paşa,Silivri,9002,%3.44041,41.0754871,28.2426423,3.5,5,83,629,2191,4168,5627
412,Fatih,Silivri,7093,%2.71082,41.0707054,28.2478688,10.8,4,65,496,1727,3285,4434
691,Cumhuriyet,Silivri,7442,%2.84420,41.0697432,28.2612532,4.8,4,68,520,1812,3446,4652
