ID,Type,Name,District,Coords,Latitude,Longitude
136,PARK,ŞEHİT TOLGA ECEBALİN PARKI (ÖZLEM PARKI(,FATİH,"41.02484376 , 28.95964444",41.02484376,28.95964444
137,PARK,ŞAİR  NEDİM PARKI,FATİH,"41.03073196 , 28.95173728",41.03073196,28.95173728
138,PARK,MERMERCİLER PARKI,KAĞITHANE,"41.06339176 , 28.95085350",41.06339176,28.95085350
139,PARK,SADABAT MESİRE 1,KAĞITHANE,"41.06725129 , 28.95825505",41.06725129,28.95825505
140,PARK,SADABAT MESİRE 2,KAĞITHANE,"41.06834328 , 28.95996094",41.06834328,28.95996094
141,PARK,SADABAT MESİRE 4,KAĞITHANE,"41.06634532 , 28.95394742",41.06634532,28.95394742
142,PARK,SEYRANTEPE 700. YIL PARKI,KAĞITHANE,"41.09735123 , 28.98944914",41.09735123,28.98944914
143,PARK,KAĞITHANE MESİRE ALANI,KAĞITHANE,"41.06431091 , 28.94990802",41.06431091,28.94990802
144,PARK,ŞEHİT KUBİLAY PARKI,EYÜPSULTAN,"41.07723030 , 28.95970362",41.07723030,28.95970362
145,PARK,EMNİYETTEPE PARKI,EYÜPSULTAN,"41.06589638 , 28.94909263",41.06589638,28.94909263
146,PARK,İSBAK ÜSTÜ,EYÜPSULTAN,"41.09454562 , 28.98522198",41.09454562,28.98522198
147,PARK,İSPARK ZEMİNALTI OTOPARK ÜSTÜ,EYÜPSULTAN,"41.08500400 , 28.92589688",41.08500400,28.92589688
148,PARK,ARNAVUTKÖY ZEMİNÜSTÜ PARKI,ARNAVUTKÖY,"41.1832821 , 28.73979986",41.1832821,28.73979986
149,PARK,KOCATEPE PARKI,BAYRAMPAŞA,"41.04890717 , 28.89457405",41.04890717,28.89457405
150,PARK,ORTA MAHALLE FATİH PARKI,BAYRAMPAŞA,"41.03473806 , 28.91916454",41.03473806,28.91916454
151,PARK,GAZİ PARKI,SULTANGAZİ,"41.09554013 , 28.89969707",41.09554013,28.89969707
152,PARK,CEBECİ PARKI,SULTANGAZİ,"41.1356441 , 28.87528896",41.1356441,28.87528896
153,PARK,ŞEHİT VEDAT BARCEĞCİ PARKI (ÇAMLIK PARKI),SULTANGAZİ,"41.08876017 , 28.87824476",41.08876017,28.87824476
154,PARK,ŞEHİT ENGİN TILBAÇ PARKI (PLEVNE PARKI),SULTANGAZİ,"41.08797175 , 28.87405515",41.08797175,28.87405515
155,PARK,BAYRAMPAŞA TUNA CADDESİ PARKI,BAYRAMPAŞA,"41.04525999 , 28.90438020",41.04525999,28.90438020
156,PARK,SULTANGAZİ ALİBEY BARAJÜSTÜ PARKI,SULTANGAZİ,"41.10223450 , 28.91674519",41.10223450,28.91674519
157,PARK,GAZİOSMANPAŞA MEHMET NİYAZİ ÖZDEMİR ZEMİNÜSTÜ PARKI,GAZİOSMANPAŞA,"41.07937137 , 28.88540089",41.07937137,28.88540089
158,PARK,ESENLER HAVAALANI MAHALLESİ ZEMİNÜSTÜ PARKI,ESENLER,"41.05582069 , 28.86726916",41.05582069,28.86726916
159,PARK,İBB GAZİOSMANPAŞA HÜRRİYET MAHALLESİ ZEMİNÜSTÜ PARKI,GAZİOSMANPAŞA,"41.07127134 , 28.89470279",41.07127134,28.89470279
160,PARK,MİMARSİNAN SAHİL ATATÜRK PARKI,BÜYÜKÇEKMECE,"41.01604488 , 28.56250584",41.01604488,28.56250584
161,PARK,MİMARSİNAN SAHİL,BÜYÜKÇEKMECE,"41.01458166 , 28.56269360",41.01458166,28.56269360
162,PARK,KORDONBOYU SAHİL,BÜYÜKÇEKMECE,"41.01105199 , 28.59901071",41.01105199,28.59901071
163,PARK,AVCILAR KARA TARAFI CEMAL KAYTAZ PARKI,AVCILAR,"40.97436 , 28.74126",40.97436,28.74126
